município,preco
Alfredo Wagner,3300000.0
Angelina,1240000.0
Anitápolis,1455000.0
Antônio Carlos,9000000.0
Araranguá,2000000.0
Armazém,720000.0
Balneário Arroio do Silva,3250000.0
Balneário Gaivota,1000000.0
Balneário Rincão,390000.0
Biguaçu,7900000.0
Botuverá,1000000.0
Braço do Norte,1800000.0
Canelinha,4500000.0
Capivari de Baixo,500000.0
Cocal do Sul,1890000.0
Criciúma,420000000.0
Florianópolis,55000000.0
Forquilhinha,1400000.0
Garopaba,15000000.0
Governador Celso Ramos,4200000.0
Gravatal,500000.0
Grão Pará,107000.0
"Guatá, Lauro Müller",150000.0
Imaruí,3400000.0
Imbituba,46464000.0
Içara,11000000.0
Jaguaruna,3930927.0
Laguna,46464000.0
Lauro Müller,365368.0
Leoberto Leal,800000.0
Major Gercino,750000.0
Maracajá,550000.0
Meleiro,70000.0
Morro Grande,600000.0
Morro da Fumaça,1300000.0
Nova Trento,3000000.0
Nova Veneza,850000.0
Orleans,660000.0
Palhoça,75000000.0
Passo de Torres,800000.0
Paulo Lopes,31000000.0
Pedras Grandes,1800000.0
Pescaria Brava,116300.0
Praia Grande,1800000.0
Rancho Queimado,3600000.0
Sangão,2700000.0
Santa Rosa de Lima,1500000.0
Santa Rosa do Sul,130000.0
Santo Amaro da Imperatriz,7000000.0
Siderópolis,950000.0
Sombrio,3700000.0
Sorocaba do Sul,130000.0
São Bonifácio,250000.0
São José,44000000.0
São João Batista,1600000.0
São João do Sul,480000.0
São Ludgero,140000.0
São Martinho,300000.0
São Pedro de Alcântara,2400000.0
Tijucas,22800000.0
Timbé do Sul,1320000.0
Treviso,1700000.0
Treze de Maio,900000.0
Tubarão,1878000.0
Turvo,1650000.0
Urussanga,700000.0
Águas Mornas,2900000.0
