município,preco
Alfredo Wagner,742343.2285714286
Angelina,477777.77777777775
Anitápolis,362012.5
Antônio Carlos,567211.8059701492
Araranguá,340738.1875
Armazém,720000.0
Balneário Arroio do Silva,231368.82
Balneário Gaivota,117695.09090909091
Balneário Rincão,159857.14285714287
Biguaçu,481177.010989011
Botuverá,417500.0
Braço do Norte,606000.0
Canelinha,731153.8461538461
Capivari de Baixo,225000.0
Cocal do Sul,364447.2
Criciúma,3490076.082706767
Florianópolis,1855600.6192959582
Forquilhinha,418566.3
Garopaba,1093335.6653846153
Governador Celso Ramos,531050.9339622641
Gravatal,343000.0
Grão Pará,107000.0
"Guatá, Lauro Müller",150000.0
Imaruí,427523.9130434783
Imbituba,834991.0474576271
Içara,732569.5833333334
Jaguaruna,379135.4137931034
Laguna,2627755.379310345
Lauro Müller,299159.0
Leoberto Leal,605000.0
Major Gercino,503333.3333333333
Maracajá,550000.0
Meleiro,67750.0
Morro Grande,567500.0
Morro da Fumaça,689000.0
Nova Trento,885000.0
Nova Veneza,313500.0
Orleans,522283.0
Palhoça,955858.3384030418
Passo de Torres,131805.79746835443
Paulo Lopes,3307365.8536585364
Pedras Grandes,975000.0
Pescaria Brava,101494.0
Praia Grande,1800000.0
Rancho Queimado,657708.9285714285
Sangão,1575000.0
Santa Rosa de Lima,770000.0
Santa Rosa do Sul,130000.0
Santo Amaro da Imperatriz,651742.2
Siderópolis,381666.6666666667
Sombrio,737499.2857142857
Sorocaba do Sul,130000.0
São Bonifácio,115000.0
São José,1032699.4827586206
São João Batista,678846.1538461539
São João do Sul,291500.0
São Ludgero,140000.0
São Martinho,300000.0
São Pedro de Alcântara,713101.7118644068
Tijucas,1675507.142857143
Timbé do Sul,860000.0
Treviso,683715.0
Treze de Maio,458333.3333333333
Tubarão,395510.7833333333
Turvo,1650000.0
Urussanga,332666.6666666667
Águas Mornas,681340.0
