município,preco
Alfredo Wagner,35000.0
Angelina,80000.0
Anitápolis,1200.0
Antônio Carlos,75000.0
Araranguá,800.0
Armazém,720000.0
Balneário Arroio do Silva,25000.0
Balneário Gaivota,7000.0
Balneário Rincão,75000.0
Biguaçu,0.0
Botuverá,110000.0
Braço do Norte,70000.0
Canelinha,67000.0
Capivari de Baixo,60000.0
Cocal do Sul,78000.0
Criciúma,0.0
Florianópolis,1500.0
Forquilhinha,75000.0
Garopaba,2000.0
Governador Celso Ramos,5000.0
Gravatal,200000.0
Grão Pará,107000.0
"Guatá, Lauro Müller",150000.0
Imaruí,55000.0
Imbituba,10.0
Içara,23000.0
Jaguaruna,40000.0
Laguna,25000.0
Lauro Müller,232950.0
Leoberto Leal,410000.0
Major Gercino,170000.0
Maracajá,550000.0
Meleiro,65000.0
Morro Grande,535000.0
Morro da Fumaça,78000.0
Nova Trento,210000.0
Nova Veneza,130000.0
Orleans,384566.0
Palhoça,800.0
Passo de Torres,40000.0
Paulo Lopes,0.0
Pedras Grandes,150000.0
Pescaria Brava,82800.0
Praia Grande,1800000.0
Rancho Queimado,95000.0
Sangão,450000.0
Santa Rosa de Lima,40000.0
Santa Rosa do Sul,130000.0
Santo Amaro da Imperatriz,25000.0
Siderópolis,95000.0
Sombrio,80000.0
Sorocaba do Sul,130000.0
São Bonifácio,60000.0
São José,1000.0
São João Batista,100000.0
São João do Sul,36000.0
São Ludgero,140000.0
São Martinho,300000.0
São Pedro de Alcântara,80000.0
Tijucas,3500.0
Timbé do Sul,400000.0
Treviso,168257.0
Treze de Maio,175000.0
Tubarão,500.0
Turvo,1650000.0
Urussanga,149000.0
Águas Mornas,1200.0
