,município
Florianópolis,1540
Palhoça,528
São José,438
Biguaçu,369
Imbituba,295
Garopaba,261
Balneário Gaivota,242
Criciúma,133
Governador Celso Ramos,106
Passo de Torres,79
Santo Amaro da Imperatriz,72
Antônio Carlos,67
Araranguá,64
Tubarão,61
Içara,60
São Pedro de Alcântara,59
Rancho Queimado,56
Tijucas,56
Balneário Arroio do Silva,50
Águas Mornas,50
Imaruí,46
Paulo Lopes,41
Alfredo Wagner,35
Jaguaruna,29
Laguna,29
Canelinha,26
Anitápolis,16
Sombrio,14
São João Batista,13
Forquilhinha,10
Nova Veneza,10
Cocal do Sul,10
Angelina,9
Botuverá,8
Balneário Rincão,7
Major Gercino,6
Braço do Norte,5
Nova Trento,5
Capivari de Baixo,5
Pescaria Brava,5
São João do Sul,4
São Bonifácio,4
Meleiro,4
Gravatal,4
Treviso,3
Treze de Maio,3
Siderópolis,3
Urussanga,3
Orleans,3
Pedras Grandes,3
Sangão,2
Morro Grande,2
Santa Rosa de Lima,2
Morro da Fumaça,2
Timbé do Sul,2
Leoberto Leal,2
Lauro Müller,2
"Guatá, Lauro Müller",1
Maracajá,1
Grão Pará,1
Santa Rosa do Sul,1
Praia Grande,1
Armazém,1
Sorocaba do Sul,1
Turvo,1
São Martinho,1
São Ludgero,1
