município,tamanho
Alfredo Wagner,700000.0
Angelina,322200.0
Anitápolis,710000.0
Antônio Carlos,560000.0
Araranguá,190000.0
Armazém,600000.0
Balneário Arroio do Silva,540000.0
Balneário Gaivota,7236.0
Balneário Rincão,420.0
Biguaçu,1101040.0
Botuverá,200000.0
Braço do Norte,8183.0
Canelinha,630000.0
Capivari de Baixo,2375.0
Cocal do Sul,39000.0
Criciúma,220000.0
Florianópolis,37000000.0
Forquilhinha,6615.0
Garopaba,750000.0
Governador Celso Ramos,200000.0
Gravatal,31000.0
Grão Pará,300.0
"Guatá, Lauro Müller",6000.0
Imaruí,820000.0
Imbituba,291730.0
Içara,50000.0
Jaguaruna,378215.0
Laguna,15031000.0
Lauro Müller,1890.0
Leoberto Leal,450000.0
Major Gercino,35000.0
Maracajá,60875.0
Meleiro,440.0
Morro Grande,50000.0
Morro da Fumaça,350.0
Nova Trento,1150000.0
Nova Veneza,150000.0
Orleans,660.0
Palhoça,525680.0
Passo de Torres,45000.0
Paulo Lopes,2350000.0
Pedras Grandes,100000.0
Pescaria Brava,456.0
Praia Grande,
Rancho Queimado,517876.0
Sangão,2250.0
Santa Rosa de Lima,20700.0
Santa Rosa do Sul,741.0
Santo Amaro da Imperatriz,3276552.0
Siderópolis,490.0
Sombrio,41000.0
Sorocaba do Sul,0.0
São Bonifácio,180000.0
São José,2206500.0
São João Batista,80000.0
São João do Sul,4000.0
São Ludgero,378.0
São Martinho,
São Pedro de Alcântara,240000.0
Tijucas,840000.0
Timbé do Sul,150000.0
Treviso,525.0
Treze de Maio,130000.0
Tubarão,92950.0
Turvo,200000.0
Urussanga,53000.0
Águas Mornas,94500.0
