município,tamanho
Alfredo Wagner,107765.28571428571
Angelina,92231.0
Anitápolis,81372.6
Antônio Carlos,23264.68656716418
Araranguá,4319.393442622951
Armazém,600000.0
Balneário Arroio do Silva,12107.625
Balneário Gaivota,328.6150627615063
Balneário Rincão,369.85714285714283
Biguaçu,8682.980169971672
Botuverá,37865.71428571428
Braço do Norte,1937.6
Canelinha,34468.92307692308
Capivari de Baixo,892.6
Cocal do Sul,7307.9
Criciúma,2999.032
Florianópolis,47813.49057873486
Forquilhinha,1404.5555555555557
Garopaba,7088.575875486381
Governador Celso Ramos,4325.971428571429
Gravatal,8977.0
Grão Pará,300.0
"Guatá, Lauro Müller",6000.0
Imaruí,44355.80434782609
Imbituba,5284.209219858156
Içara,3806.1372549019607
Jaguaruna,13719.034482758621
Laguna,599132.4642857143
Lauro Müller,951.5
Leoberto Leal,375000.0
Major Gercino,11795.0
Maracajá,60875.0
Meleiro,380.0
Morro Grande,30000.0
Morro da Fumaça,178.0
Nova Trento,233227.0
Nova Veneza,15563.1
Orleans,486.6666666666667
Palhoça,3724.024
Passo de Torres,897.1052631578947
Paulo Lopes,215295.875
Pedras Grandes,37610.666666666664
Pescaria Brava,397.2
Praia Grande,
Rancho Queimado,31433.321428571428
Sangão,1180.0
Santa Rosa de Lima,20700.0
Santa Rosa do Sul,741.0
Santo Amaro da Imperatriz,59973.30882352941
Siderópolis,490.0
Sombrio,5957.0
Sorocaba do Sul,0.0
São Bonifácio,87177.0
São José,10849.612048192772
São João Batista,15002.692307692309
São João do Sul,1150.25
São Ludgero,378.0
São Martinho,
São Pedro de Alcântara,21469.42105263158
Tijucas,62231.163636363635
Timbé do Sul,75027.0
Treviso,375.0
Treze de Maio,53733.333333333336
Tubarão,4204.018518518518
Turvo,200000.0
Urussanga,17906.666666666668
Águas Mornas,15872.54
